电影名称,评分,短评数量,热门短评
肖申克的救赎,9.7,全部 343928 条,"['策划了19年的私奔……', '“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。\r\n当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？\r\n经典的电影之所以经典，因为他们都在做同一件事—...', '超级喜欢超级喜欢,不看的话人生不圆满.', '一部没有爱情与美女的电影,却光芒四射', '因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！']"
霸王别姬,9.6,全部 277335 条,"['他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。', '不解,拍出过霸王别姬的人怎能拍出无极来', '就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿', '凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……', '那么好的国粹，连日本人都知道要护着，你们说烧就烧……大多数开始于民国间的故事，最难捱的都是那段时间。']"
阿甘正传,9.5,全部 220862 条,"['每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍', '说实话，我没看到影片过于励志的内容。只看到阿甘利用了他的天赋，并成功了。当然，他很执着，很善良。', '我生命里最温暖的一部电影', '傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……', '又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。']"
这个杀手不太冷,9.4,全部 270108 条,"['萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~', '她对Leon说，自从遇见你后，我的胃，再也不痛了……', '或许是很多姑娘大叔控的根源。', ""Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no..."", ""Here in my stomach. It's all warm. I always had a knot there, and now.. it's gone.""]"
美丽人生,9.5,全部 189725 条,"['喜剧的开始，悲剧的结束，\r\n满满的亲情，无限的父爱', '绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。', '即使是悲惨世界,也要大大的笑着.', '不敢相信男主死了，总以为他能活过来', '从天而降的钥匙打开了她的心房，却打不开奴役的枷锁；\n骑马逃离婚姻的羁绊，却逃不出法西斯的束缚。\n现实残酷，他就用温柔回敬现实。\n战争凶猛，他就用父爱打赢这场战争。\n做一块蛋糕，他就融化了她的心窝；\n铺一张地毯，她就走进了他的生活。\n一句广播，一首音乐，让妻子重新看见希望。\n一个善意的谎言，一个属于父子之间的游戏，给孩子一个没有阴影的童年。\n我只是一个普通人，你却让我做了公主。\n我只是想要一个玩具坦...']"
泰坦尼克号,9.4,全部 203636 条,"['爱你原本只是一瞬，却不知在时间的洪流中成了永恒。', '生死两茫茫\r\n不思量\r\n自难忘', '当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。', '我想失去的才是永恒的。', '第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...']"
千与千寻,9.3,全部 254110 条,"['不努力工作会变成猪', '十年后重看只想大哭，其实我们都明白这个结局。', '“有些事情是不可能忘记的。 只是一时想不起来。”忘了怎么打动我的了……好像不是打动，而是震撼。', '有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）', '隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！\n话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。']"
辛德勒的名单,9.5,全部 109240 条,"['印象很深刻的是黑白画面中的红色。', '导演很清楚观众会喜欢什么，而这正是我不喜欢的地方', '“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆', '献给导演认真的态度和无数个小高潮', '斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。\n苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。\n']"
盗梦空间,9.3,全部 258446 条,"['大概广电局也不知道该从哪里剪', '1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年', 'Christopher Nolan是天才!', '诺兰+莱昂纳多的电影，我无话可说！', '迷离失所，戏假情真！']"
忠犬八公的故事,9.4,全部 195096 条,"['这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。', '纸巾抽到还剩最后一张', '所以说，与人打交道越多，就会越喜欢狗', '想起回家的出租车上的广播，一对老夫妇丢失了狗狗寝食难安不知道该怎么生活，他们女儿在广播里说抱了狗的人，你们要是卖我们再买回来。尤其是她妈妈现在整个人都吃不下饭了，他们年纪大了，狗狗就是他们的生活寄托啊。【我已经使劲克制自己不哭了，但还是不行。】', '....明早眼睛又肿了']"
