肖申克的救赎,9.7,1895120,"['20世纪40年代末,小有成就的青年银行家安迪(蒂姆·罗宾斯 Tim Robbins 饰)因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内,希望似乎虚无缥缈,终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久,安迪尝试接近囚犯中颇有声望的瑞德(摩根·弗里曼 Morgan Freeman 饰),请求对方帮自己搞来小锤子。以此为契机,二人逐渐熟稔,安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识,帮助监狱管理层逃税、洗黑钱,同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来,他已如瑞德那样对那堵高墙从憎恨转变为处之泰然,但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相,似乎更使这一切朝前推进了一步......                                                                              本片根据著名作家斯蒂芬·金(Stephen Edwin King)的...                            (展开全部)', '当年的奥斯卡颁奖礼上,被如日中天的《阿甘正传》掩盖了它的光彩,而随着时间的推移,这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感,翻出这张碟,就重获力量。毫无疑问,本片位列男人必看的电影前三名!回顾那一段经典台词:“有的人的羽翼是如此光辉,即使世界上最黑暗的牢狱,也无法长久地将他围困!”', '关于希望最强有力的注释。', '“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分,就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限,通篇几乎充满令人难以置信的温馨基调,而电影里最伟大的主题是“希望”。\r当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄,我们是无奈的老布鲁克,灰心的瑞德,还是智慧的安迪?运用智慧,信任希望,并且勇敢面对恐惧心理,去打败它?\r经典的电影之所以经典,因为他们都在做同一件事—...', 'Fear Can Hold You Prisoner, Hope Can Set You Free', '一部没有爱情与美女的电影,却光芒四射']"
霸王别姬,9.6,1391798,"['他竟当面一语点破:虞姬是真虞姬,霸王是假霸王。', '君王意气尽 贱妾何聊生', '人戏不分,不疯魔不成活。', '程蝶衣,和《海上钢琴师》的主角,都是一类人。', '城头变幻大王旗,一个《霸王别姬》,一个《活着》,道尽中国现当代史,百年内无可超越。']"
阿甘正传,9.5,1442700,"['妈妈说,生活就像一盒巧克力......请不要再续下一句,耳朵听的起了茧子。', '每年看一遍,每年哭一遍,看看自己幸福还是阿甘幸福!时间:从2003开始每年一遍', '我生命里最温暖的一部电影', '傻人有傻福,实际上并不是这样的。在我看来,阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了,不让上学,不与别人接触,也许是为了保护自己的孩子,但是这样以后孩子就等于废了......', '十年前看过一遍,那时还是一个小屁孩,就像Forrest的妈妈说的一样,生活就像一盒巧克力,十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致,我的意思是,蠢萌,其实也是上帝给予的天赋。']"
这个杀手不太冷,9.4,1638228,"['一半的魅力来自反派:Gary Oldman.', '我开始想要过得快乐,睡在床上,有牵挂', '这个男人他是从儿时的动画片里走出来的,是邪恶和童真的混合体,这令我着迷。', '或许是很多姑娘大叔控的根源。', '“这是关于两个小孩的故事,一个女孩和一个男孩,在他们心里,他们都是12岁,他们都感到失落而他们深爱彼此。” \r                       ——吕克·贝松']"
美丽人生,9.5,916524,"['如果谎言可以这样美丽,我也情愿生活在谎言之中', '乐观的态度,持久的爱情,伟大的父爱,在这种残忍的践踏中表现出来才让人如此的动容,一定不会忘了这位犹太青年', '很久以前看过的,永远难忘片中父亲的鬼脸', '对我说:“早上好,公主”吧', '前后如同两部电影。前一半有多欢脱,后一半就有多苍凉。我特别在意那位执着与于猜谜的军官,善与恶,竟然最终抵不过一道谜题,这也是一种人生的况味吧。']"
泰坦尼克号,9.4,1386881,"['“我甚至连一张他的画像都没有,但他永远活在我心中。” 要敢说,这是我一直深爱的电影。', '若干年后,2010年12月27日凌晨一点半,我不知道还有谁醒着没睡,还有谁和我一样,刚重温过这片子,或是刚刚打开准备重温。我又哭得很惨,这是毫无疑问的。我想,之所以不情愿活着,是因为没有那个如此相爱想要厮守的人;不情愿死去,是因为没有一个人如此爱我,值得我为他去死。', '当老年的Rose午夜梦回,一个长镜头穿过大堂,摇上楼梯,站在钟表前的Jack转过身来,意气风发,潇洒倜傥,宛如昨日。', '一部应该被记住的电影.', '事隔那麼多年依然無法忘記當初的感動。']"
千与千寻,9.3,1480263,"['有那么那么经典吗?还是我老了?', '一个寻找自我或者自我复苏的过程', '内个白龙好像塔矢亮!其实这是个爱丽丝漫游奇遇记的东方版呢!', '我与猪都认可的片儿。', '宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象']"
辛德勒的名单,9.5,738494,"['印象很深刻的是黑白画面中的红色。', '这不止是剧情,更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活,不以剧本和背景定优劣,这一切都是导演的功力和运气造成,不可求,但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景,辛德勒本人之事尚存争议,电影却已在全世界人面前诠释并且定性了,由此可见媒体的影响之大', '“凡救人一命,即救全世界!”一段如此深刻的历史,多么希望它早早结束,但如此一部经典的影片你却永远都不想它完结。感动于良知,印象很深刻的永远是黑白画面中的那一抹红色。在任何时代,不管有多么的黑暗,都会有人性的光辉在闪烁着;经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆', '献给导演认真的态度和无数个小高潮', '斯皮尔伯格,犹太人,世界最著名的导演之一,他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地,那段对犹太人灭绝人性的杀戮终于大白于天下。苍天悲悯,辛德勒名单内是生命,外是死亡,他为此倾家荡产,1100犹太人得已生还,也记住了辛德勒这位伟人。']"
盗梦空间,9.3,1392165,"['道姆·柯布(莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰)与同事阿瑟(约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰)和纳什(卢卡斯·哈斯 Lukas Haas 饰)在一次针对日本能源大亨齐藤(渡边谦 饰)的盗梦行动中失败,反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司,采取极端措施在其唯一继承人罗伯特·费希尔(希里安·墨菲 Cillian Murphy 饰)的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国,柯布偷偷求助于岳父迈尔斯(迈克尔·凯恩 Michael Caine 饰),吸收了年轻的梦境设计师艾里阿德妮(艾伦·佩吉 Ellen Page 饰)、梦境演员艾姆斯(汤姆·哈迪 Tom Hardy 饰)和药剂师约瑟夫(迪利普·劳 Dileep Rao 饰)加入行动。在一层层...                            (展开全部)', '1、电影确实精彩。2、没有想象的难懂,相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院,因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年', '前期的口碑营销确实有点儿过了,绝对还没有达到神作的级别,但依旧是近年来最好的影片,诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中,其遵循并热爱的怀古之风从人物造型,台词蔓延到拍摄手法以及特效制作上,不过正因为如此,一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。', '确实挺好看。人人都在评论这片,我也评不出个鸟来了。因为《盗梦空间》这片,中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼,人人都觉得自己是哲学家,是心理学家,是数学家,是诺兰的知己。', '就那么一个创意,被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。', '概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想,视觉效果挺棒的!偶尔会令我想起Paprika......']"
忠犬八公的故事,9.4,955780,"['八公(Forest 饰)是一条谜一样的犬,因为没有人知道它从哪里来。教授帕克(理查·基尔 Richard Gere 饰)在小镇的火车站拣到一只走失的小狗,冥冥中似乎注定小狗和帕克教授有着某种缘分,帕克一抱起这只小狗就再也放不下来,最终,帕克对小狗八公的疼爱感化了起初极力反对养狗的妻子卡特(琼·艾伦 Joan Allen 饰)。八公在帕克的呵护下慢慢长大,帕克上班时八公会一直把他送到车站,下班时八公也会早早便爬在车站等候,八公的忠诚让小镇的人家对它更加疼爱。有一天,八公在帕克要上班时表现异常,居然玩起了以往从来不会的捡球游戏,八公的表现让帕克非常满意,可是就是在那天,帕克因病去世。帕克的妻子、女儿安迪(萨拉·罗默尔 Sarah Roemer 饰)及女婿迈克尔(罗比·萨布莱特 Robbie Sublett 饰)怀着无比沉痛的心情埋葬了帕克,可是不明就里的...                            (展开全部)', '动物是我的死穴...从头哭到尾..', '这是我所看过的关于狗狗电影最感人的一部,我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上,而没有像其他一些影片文不对题,偏偏喜欢渲染一些多余人物的情感,很显然,主题对了,观影者自然而然会买单。', '你和我在一起两年,你走之后,我剩下的人生都留给你了。。。', '催泪大片,排毒良品,超憨的秋田犬,还有久违的理查基尔兄', '....明早眼睛又肿了']"
