Movie Name,Movie Score,Comments Number,Top 5 Comment
肖申克的救赎,9.7,1912847,"['当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”', '策划了19年的私奔……', '“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。\r\n当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？\r\n经典的电影之所以经典，因为他们都在做同一件事—...', '人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope', '一部没有爱情与美女的电影,却光芒四射']"
霸王别姬,9.6,1407066,"['在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄', '最优秀的中国电影', '程蝶衣，和《海上钢琴师》的主角，都是一类人。', '往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。', '蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了']"
阿甘正传,9.5,1454006,"['羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来', ""Mama always said life was like a box of chocolates. You never know what you're gonna get."", 'you are my girl.\r\n', '重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。', '人生就像一盒巧克力，你不知道会选中哪一颗。']"
这个杀手不太冷,9.4,1650112,"['萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~', '我开始想要过得快乐，睡在床上，有牵挂', '一个杀手被一个萝莉害死的故事', '喜欢这个喝牛奶的男人', ""Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no...""]"
美丽人生,9.5,922823,"['喜剧的开始，悲剧的结束，\r\n满满的亲情，无限的父爱', '这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆', '不敢相信男主死了，总以为他能活过来', '世界上最美丽的谎言与微笑。Surprise her, forever!', '看过很多遍，我会背很多台词：我想和你做爱，我见你的第一眼就想和你连续做三次爱。如果你违反了三条规定中的任何一条，你的得分就会被扣光：一、如果你哭，二、如果你想要见妈妈，三、如果你饿了，想要吃点心！想都别想！第一句爱情性感，第二句父爱如山 \r\n最爱的还是那句：早安，公主！']"
泰坦尼克号,9.4,1399686,"['那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。', '若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。', '你不能否认，它就是个传奇 ', '学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。', '有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。']"
千与千寻,9.3,1494181,"['每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊', '又是个成人动画,估计大部分中国观众很难体会什么.', '我与猪都认可的片儿。', '有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）', '宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 ']"
辛德勒的名单,9.5,744069,"['有钱才能保护喜欢的人', '出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。', '不仅仅是犹太人，而是整个人类的悲剧。', '辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。', '每一次看都有新鲜发现，每一次看都会内牛满面。/ 记第一次在中国大银幕观看 20190413 @天幕新彩云巨幕厅']"
盗梦空间,9.3,1401719,"['1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年', '一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！', '这电影看完就开始怀疑人生了，类似的还有《蝴蝶效应》《骇客帝国》《心慌方》《无姓之人》《攻壳机动队》《楚门的世界》等等……其实我突然觉得这一类题材影片的鼻祖明明就是动画片《魔方大厦》啊，郑渊洁威武。', 'Christopher Nolan是天才!', '就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。']"
忠犬八公的故事,9.4,963894,"['这真是漫长的一生啊，八公。', '“永远都不能忘记你所爱的人” 狗尚如此，人何以堪？5星给动情的真实故事。', '“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....', '所以说，与人打交道越多，就会越喜欢狗', '这只秋田犬演是演得真好，不过总让我有种看日本纯爱片的错觉。。。']"
海上钢琴师,9.3,1164495,"['某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园', '又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．', '我就爱他说，fuck the regulations!!', '键盘有始有终，你确切知道 88 个键就在那儿，错不了。它并不是无限的，而你，才是无限的。你能在键盘上表现的音乐是无限的，我喜欢这样，我能轻松应对，而你现在让我走过跳板，走到城市里，等着我的是一个没有尽头的键盘，我又怎能在这样的键盘上弹奏呢？那是上帝的键盘啊！', '我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。']"
机器人总动员,9.3,925009,"['很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。', '我看哭了。。。', '清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi', '小瓦力，大人生', '到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。']"
三傻大闹宝莱坞,9.2,1288410,"['看了这部电影是我2010年最幸运的一件事 力荐！', '它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。', '很棒的印度电影，这当中一样的可以看到中印相似的教育体制与贫富阶层问题。轻松、暴笑、热泪中感受积极人生的力量。梦想与事业，做我们喜欢的事情，是成就的不变真理。', '第一次完整看完一部印度片。中国不如。', '你们都说好看，我也就觉得一般般']"
楚门的世界,9.3,1025322,"['他用别人的相片拼凑出她的样子， 在这个虚假的，冷漠无情的世界里只有这份思念是唯一的真实', '那个导演好恶心，那群观众更恶心，反乌托邦就是要反这班偷窥成狂的上帝。自由的意志是不能任人摆布的，如果我是楚门，但愿你永远不要让我发现真相，不然我将诅咒你们所有人——FUCK OFF, SCREW YOU ALL!', '原来植入广告那都是人家美国人玩剩下的玩意儿……', '看的时候甚至有种绝望的情绪，这个世界有时就是这么的令人无助', '换句话说，他的生活就是真实的生活，如果什么也没出现什么也没发现。再换句话说，所有的配角被迫清醒地站在这个虚拟的边缘，吃喝拉撒24小时待命，意识到此刻的高潮被以亿计算的人类消费着，除此之外生活的区别只是没有摄像头对着，不用去区分真或假。精神病和真实一线之隔。坚持到底你就赢了。']"
