,movie_name,grace,comments_number,hot_comments
0,肖申克的救赎,9.7,346258,"['忒经典的东西,我要带去我的坟墓', '这样的男人谁会舍得背叛。。。', '没有人会不喜欢吧！书和电影都好。', '墙里的人老是喊自由，可是墙外的我们真正得到了吗？', '因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！']"
1,霸王别姬,9.6,279517,"['在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄', '说好了一辈子，少一年、一天、一个时辰，都不是一辈子。', '他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。', '往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。', '城头变幻大王旗，一个《霸王别姬》，一个《活着》，道尽中国现当代史，百年内无可超越。']"
2,阿甘正传,9.5,222094,"['说实话，我没看到影片过于励志的内容。只看到阿甘利用了他的天赋，并成功了。当然，他很执着，很善良。', ""Mama always said life was like a box of chocolates. You never know what you're gonna get."", '傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……', '这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”', '又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。']"
3,这个杀手不太冷,9.4,271281,"['我开始想要过得快乐，睡在床上，有牵挂', 'Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。', '喜欢这个喝牛奶的男人', '我到哪里找，像你这么好。', '杀手又怎样？警察又如何？冷酷或者温柔，不是靠职业来评断。那个警察冷血的想让人捅死他~！而这个杀手，让人心疼的只想轻轻的温柔的抱抱他。']"
4,美丽人生,9.5,190545,"['我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...', '喜剧的开始，悲剧的结束，\r\n满满的亲情，无限的父爱', '即使是悲惨世界,也要大大的笑着.', '父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.', '不敢相信男主死了，总以为他能活过来']"
5,泰坦尼克号,9.4,205178,"['爱你原本只是一瞬，却不知在时间的洪流中成了永恒。', '当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。', '事隔那麼多年依然無法忘記當初的感動。', '有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。', '爱情撼动全世界！2008.7.26 CCTV6\r\n2018.4.19 爱奇艺']"
6,千与千寻,9.3,255838,"['十年后重看只想大哭，其实我们都明白这个结局。', '有那么那么经典吗？还是我老了？', '你忘了吗?\r\n往下飞的时候眼泪是往上流的.', '曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧', '宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 ']"
7,辛德勒的名单,9.5,109900,"['出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。', '这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大', '最后辛德勒摘下自己的胸针，说自己原本还能再救一个人，痛哭失声的时候，我也已经哭得不成人形。从电影的任何一个角度都达到了直击人心的力量，面对人性，面对生命，辛德勒做出了让历史铭记的选择。经典之至，感人至深。', '辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。', '献给导演认真的态度和无数个小高潮']"
8,盗梦空间,9.3,259535,"['1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年', '卡梅隆负责革新电影技术，诺兰负责革新电影结构...', '一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。', 'Nolan给了我们一场无法盗取的梦。', '确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。']"
9,忠犬八公的故事,9.4,196281,"['Hachi就是爱一个人过一生了。', '动物是我的死穴...从头哭到尾..', '这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。', '“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....', '感动你们的是电影，还是故事本身？']"
