moviesName,moviesRatings,moviesNumbers,moviesComment
肖申克的救赎 The Shawshank Redemption,9.7,346310,"['超级喜欢超级喜欢,不看的话人生不圆满.', 'Fear Can Hold You Prisoner, Hope Can Set You Free', '人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope', '这样的男人谁会舍得背叛。。。', '墙里的人老是喊自由，可是墙外的我们真正得到了吗？']"
霸王别姬,9.6,279572,"['陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原', '在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄', '往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。', '我記得我標記過這部片子的啊！——我以為這是國產電影的開始，誰知道是結束。', '往事不要再提，人生已多风雨。他是霸王，你是虞姬，“我本是男儿郎，又不是女娇娥”，万丈红尘蹉跌走过半世纪。寥落繁华不由己，十万春花如梦里。剑还给你，命也还给你。“君王意气尽，贱妾何聊生？”陪你唱罢这出、我便离去...']"
阿甘正传 Forrest Gump,9.5,222123,"['妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。', '太甜美的美國夢', '重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。', '这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。\n成功充满必然与偶然。\n人生就像是一盒巧克力。\n最经典的两句台词\n', '他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。']"
这个杀手不太冷 Léon,9.4,271325,"['一半的魅力来自反派：Gary Oldman.', '我开始想要过得快乐，睡在床上，有牵挂', '或许是很多姑娘大叔控的根源。', ""Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no..."", '我到哪里找，像你这么好。']"
美丽人生 La vita è bella,9.5,190562,"['人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。\r\n \r\n', '即使是悲惨世界,也要大大的笑着.', '前后如同两部电影。前一半有多欢脱，后一半就有多苍凉。我特别在意那位执着与于猜谜的军官，善与恶，竟然最终抵不过一道谜题，这也是一种人生的况味吧。', '世界上最美丽的谎言与微笑。Surprise her, forever!', '从天而降的钥匙打开了她的心房，却打不开奴役的枷锁；\n骑马逃离婚姻的羁绊，却逃不出法西斯的束缚。\n现实残酷，他就用温柔回敬现实。\n战争凶猛，他就用父爱打赢这场战争。\n做一块蛋糕，他就融化了她的心窝；\n铺一张地毯，她就走进了他的生活。\n一句广播，一首音乐，让妻子重新看见希望。\n一个善意的谎言，一个属于父子之间的游戏，给孩子一个没有阴影的童年。\n我只是一个普通人，你却让我做了公主。\n我只是想要一个玩具坦...']"
泰坦尼克号 Titanic,9.4,205224,"['永远是我在电影院所看过最好的电影', '生死两茫茫\r\n不思量\r\n自难忘', '事隔那麼多年依然無法忘記當初的感動。', '你不能否认，它就是个传奇 ', '看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5']"
千与千寻 千と千尋の神隠し,9.3,255879,"['自认为是宫崎骏最好的一部。| 2019.6.22 大银幕重温，感谢造梦者。', '“有些事情是不可能忘记的。 只是一时想不起来。”忘了怎么打动我的了……好像不是打动，而是震撼。', '有那么那么经典吗？还是我老了？', '有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）', '宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 ']"
辛德勒的名单 Schindler's List,9.5,109917,"['有钱才能保护喜欢的人', '这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大', '“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆', '辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。', '斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。\n苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。\n']"
盗梦空间 Inception,9.3,259556,"['大概广电局也不知道该从哪里剪', '1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年', '一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！', '“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?', '概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……']"
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196338,"['八公的主人，也在天堂的门口等了它很久吧。', 'Hachi就是爱一个人过一生了。', '你要养狗,就不能当它是guest,十年可是一只狗的一辈子', '这次不是拉布拉多，不是金毛，是默默无闻的秋田犬~在电影的最后部分我哭的稀里哗啦，意气风发的八公老了，脏了，以前不怎么喜欢他的女主人抱着它感动的流泪，大雪纷飞的夜里因为有火车来了八公又在等，似乎是回光返照般的看见男主人一如从前那样从火车站里走出来张开双臂要拥抱他~其实狗狗什么都知道', '....明早眼睛又肿了']"
