电影名称,评分,短评数量,热门短评1,热门短评2,热门短评3,热门短评4,热门短评5
肖申克的救赎,9.7,全部 346234 条,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,有种鸟是关不住的.,"Fear Can Hold You Prisoner, Hope Can Set You Free","一部没有爱情与美女的电影,却光芒四射",没有人会不喜欢吧！书和电影都好。
霸王别姬,9.6,全部 279495 条,君王意气尽 贱妾何聊生,人戏不分，不疯魔不成活。,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此,你凝视你的脸，几亿人在爱恋。,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……
阿甘正传,9.5,全部 222077 条,阿甘奔跑的意象，应该留在了很多人心里。,Mama always said life was like a box of chocolates. You never know what you're gonna get.,我生命里最温暖的一部电影,太甜美的美國夢,"这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。
成功充满必然与偶然。
人生就像是一盒巧克力。
最经典的两句台词
"
这个杀手不太冷,9.4,全部 271266 条,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~,我开始想要过得快乐，睡在床上，有牵挂,一个杀手被一个萝莉害死的故事,喜欢这个喝牛奶的男人,"Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no..."
美丽人生,9.5,全部 190538 条,"喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱","即使是悲惨世界,也要大大的笑着.","乐观的态度,持久的爱情，伟大的父爱,在这种残忍的践踏中表现出来才让人如此的动容,一定不会忘了这位犹太青年",对我说：“早上好，公主”吧,关于父爱的伟大电影。以非凡的想象力和诙谐幽默演绎一场不堪回首的历史惨剧，那怦动的热情和对人生充满希望的美丽震撼人心。“为了看到阳光，我们来到世上。为了成为阳光，我们存于世上。”在Guido身上，你看不到那些痛苦、隐忍、挣扎和艰难。这位一直用荒谬的态度对待人生的荒谬、以达观的态度对
泰坦尼克号,9.4,全部 205152 条,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。,还是会哭。,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。,若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。,看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5
千与千寻,9.3,全部 255812 条,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",“有些事情是不可能忘记的。 只是一时想不起来。”忘了怎么打动我的了……好像不是打动，而是震撼。,"又是个成人动画,估计大部分中国观众很难体会什么.",有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）,"隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！
话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。"
辛德勒的名单,9.5,全部 109888 条,有钱才能保护喜欢的人,不仅仅是犹太人，而是整个人类的悲剧。,我哭死算了我,辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。,每一次看都有新鲜发现，每一次看都会内牛满面。/ 记第一次在中国大银幕观看 20190413 @天幕新彩云巨幕厅
盗梦空间,9.3,全部 259519 条,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,卡梅隆负责革新电影技术，诺兰负责革新电影结构...,《奠基》是一部复杂精致并绝对精彩好看的电影，他让你在片尾字幕出现时完全反应不过来之前的两个半小时发生了什么，就像一场梦境一样让你匪夷所思却又流连忘返。,确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。,所有的梦境中柯布中都戴着戒指，所有的现实中柯布都没戴戒指，所以陀螺只是障眼法，戒指才是真正的图腾。结尾柯布根本不在乎陀螺有没有停下来，因为他出机场的时候没戴戒指，他早就知道自己回到现实了。
忠犬八公的故事,9.4,全部 196257 条,八公的主人，也在天堂的门口等了它很久吧。,这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。,你和我在一起两年，你走之后，我剩下的人生都留给你了。。。,天呐我从后半段开始一直在哭 为什么面对这么居心不良的赚眼泪煽情电影我还是被套牢了！我马上要给我家小羊皮一个热烈的大拥抱！！！,所以说，与人打交道越多，就会越喜欢狗
