电影名称,评分,短评数,热门短评1,热门短评2,热门短评3,热门短评4,热门短评5
肖申克的救赎 The Shawshank Redemption,9.7,346221,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,关于希望最强有力的注释。,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事—...","一部没有爱情与美女的电影,却光芒四射",墙里的人老是喊自由，可是墙外的我们真正得到了吗？
霸王别姬,9.6,279488,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。,你凝视你的脸，几亿人在爱恋。,我記得我標記過這部片子的啊！——我以為這是國產電影的開始，誰知道是結束。
阿甘正传 Forrest Gump,9.5,222074,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,阿甘奔跑的意象，应该留在了很多人心里。,太甜美的美國夢,"十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。",又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。
这个杀手不太冷 Léon,9.4,271258,我开始想要过得快乐，睡在床上，有牵挂,"看到泪飙，世上最温情的杀手。
幸运的姑娘在12岁就遇到了真正的男人。
",或许是很多姑娘大叔控的根源。,莱昂用死换来的钱，竟被人轻松地据为己有。这一点令我百感交集。,我到哪里找，像你这么好。
美丽人生 La vita è bella,9.5,190534,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,"喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱","乐观的态度,持久的爱情，伟大的父爱,在这种残忍的践踏中表现出来才让人如此的动容,一定不会忘了这位犹太青年",这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆,"世界上最美丽的谎言与微笑。Surprise her, forever!"
泰坦尼克号 Titanic,9.4,205148,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,永远是我在电影院所看过最好的电影,学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。,有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。
千与千寻 千と千尋の神隠し,9.3,255802,不努力工作会变成猪,曾发生过的事请不可能忘记 只不过是你想不起罢了,有那么那么经典吗？还是我老了？,"又是个成人动画,估计大部分中国观众很难体会什么.",一个寻找自我或者自我复苏的过程
辛德勒的名单 Schindler's List,9.5,109887,印象很深刻的是黑白画面中的红色。,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。,请看一部没有笑容的电影吧,我哭死算了我,“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆
盗梦空间 Inception,9.3,259508,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196251,Hachi就是爱一个人过一生了。,这真是漫长的一生啊，八公。,“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....,天呐我从后半段开始一直在哭 为什么面对这么居心不良的赚眼泪煽情电影我还是被套牢了！我马上要给我家小羊皮一个热烈的大拥抱！！！,感动你们的是电影，还是故事本身？
